Mumbai Indians - 1st innings,,,,,,,,,,,,
PV Tambe,2,1,0,0,0,0,0,0,,1,3,33.33
STR Binny,0,1,0,0,0,0,0,0,,1,1,100
"WP Saha - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,2,0,0,1,1,0,0,0,,7,4,175
"GJ Maxwell - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
DS Kulkarni,0,1,0,0,1,0,0,0,,5,2,250
JP Faulkner,2,0,1,0,0,0,0,0,caught,2,3,66.66
"AR Patel - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,2,0,0,0,0,0,0,0,bowled,0,2,0
CH Morris,1,3,0,0,0,0,0,0,,3,4,75
DS Kulkarni,0,1,0,0,1,0,0,0,,5,2,250
JP Faulkner,4,3,0,0,0,0,0,0,,3,7,42.85
PV Tambe,2,5,1,0,1,0,0,0,,11,9,122.22
STR Binny,2,2,0,0,0,0,0,0,,2,4,50
"DA Miller - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,3,1,0,0,1,0,1,0,,11,6,183.33
CH Morris,4,0,0,0,0,0,0,0,,0,4,0
DS Kulkarni,1,0,0,0,0,0,0,0,caught,0,1,0
PV Tambe,1,2,0,0,0,0,0,0,,2,3,66.66
STR Binny,4,0,1,0,2,0,0,0,,10,7,142.85
"GJ Bailey - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,0,1,0,0,0,0,0,0,,1,1,100
CH Morris,2,1,1,0,0,0,0,0,,3,4,75
DS Kulkarni,2,0,0,0,1,0,0,0,,4,3,133.33
JP Faulkner,1,3,1,0,1,0,1,0,caught,15,7,214.28
PV Tambe,2,1,0,0,0,0,0,0,,1,3,33.33
"MG Johnson - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,3,0,0,0,0,0,0,0,,0,3,0
